"pad_size","position","track_no","layer_thickness_um","measurement_type","sim_value","exp_mean_value","exp_std_dev"
"1x5","","4","0","width","154.2307614","225.011","8.3"
"1x5","","4","80","width","258.4615335","249.371","4.4"
"1x5","","4","160","width","278.4615335","302.0495","6"
"1x5","","5","0","width","184.2307597","275.123","20.4"
"1x5","","5","80","width","356.153841","289.7535","10.3"
"1x5","","5","160","width","339.2307632","358.227314","7.9"
"1x5","","6","0","width","201.9230653","not measured","not measured"
"1x5","","6","80","width","416.9230706","not measured","not measured"
"1x5","","6","160","width","412.3076855","not measured","not measured"
"1x5","","7","0","width","213.4615247","not measured","not measured"
"1x5","","7","80","width","446.9230689","not measured","not measured"
"1x5","","7","160","width","436.1538374","not measured","not measured"
"1x5","","8","0","width","218.8461377","not measured","not measured"
"1x5","","8","80","width","476.9230671","not measured","not measured"
"1x5","","8","160","width","484.6153745","not measured","not measured"
"1x5","","9","0","width","224.2307508","not measured","not measured"
"1x5","","9","80","width","525.3846042","not measured","not measured"
"1x5","","9","160","width","533.0769116","not measured","not measured"
"1x5","","10","0","width","235.7692101","not measured","not measured"
"1x5","","10","80","width","555.3846024","not measured","not measured"
"1x5","","10","160","width","563.0769098","not measured","not measured"
"5x5","start","1","0","bead_height","-5.53","17.1","2.0"
"5x5","start","1","80","bead_height","45","50.6","11.0"
"5x5","start","1","160","bead_height","89.61","114.4","12.3"
"5x5","start","2","0","bead_height","4.15","-0.9","3.1"
"5x5","start","2","80","bead_height","37.5","30.2","7.7"
"5x5","start","2","160","bead_height","80.52","89.8","3.6"
"5x5","start","3","0","bead_height","-2.76","11.9","0.5"
"5x5","start","3","80","bead_height","37.5","24.7","3.6"
"5x5","start","3","160","bead_height","88.31","57.7","5.3"
"5x5","start","4","0","bead_height","1.38","1.5","3.6"
"5x5","start","4","80","bead_height","34.375","19.9","5.5"
"5x5","start","4","160","bead_height","89.61","65.4","4.6"
"5x5","start","5","0","bead_height","-2.76","11.2","2.2"
"5x5","start","5","80","bead_height","34.375","20.2","4.3"
"5x5","start","5","160","bead_height","92.21","48.5","4.9"
"5x5","start","6","0","bead_height","1.38","6.4","4.0"
"5x5","start","6","80","bead_height","35.9375","20.2","5.2"
"5x5","start","6","160","bead_height","93.51","57.2","5.7"
"5x5","start","7","0","bead_height","-1.38","13.4","2.9"
"5x5","start","7","80","bead_height","28.125","20.8","4.3"
"5x5","start","7","160","bead_height","94.81","42.3","2.3"
"5x5","start","8","0","bead_height","-1.38","9.3","3.7"
"5x5","start","8","80","bead_height","37.5","23.7","3.9"
"5x5","start","8","160","bead_height","83.12","54.9","3.2"
"5x5","start","9","0","bead_height","-2.76","13.6","1.4"
"5x5","start","9","80","bead_height","42.1875","22.5","1.8"
"5x5","start","9","160","bead_height","66.23","42.6","5.1"
"5x5","start","10","0","bead_height","","8.2","2.7"
"5x5","start","10","80","bead_height","37.5","24.0","4.9"
"5x5","start","10","160","bead_height","","58.1","8.1"
"5x5","start","1","0","depth","114.7","123.9","1.3"
"5x5","start","1","80","depth","137.5","118.1","1.7"
"5x5","start","1","160","depth","100","101.0","8.8"
"5x5","start","2","0","depth","128.6","139.2","1.5"
"5x5","start","2","80","depth","148.44","131.8","6.5"
"5x5","start","2","160","depth","102.6","127.6","6.4"
"5x5","start","3","0","depth","141.0","164.7","5.0"
"5x5","start","3","80","depth","198.44","159.8","6.3"
"5x5","start","3","160","depth","137.66","144.0","3.3"
"5x5","start","4","0","depth","128.6","150.4","0.7"
"5x5","start","4","80","depth","170.31","142.2","6.8"
"5x5","start","4","160","depth","120.78","131.0","6.2"
"5x5","start","5","0","depth","147.9","172.7","5.0"
"5x5","start","5","80","depth","206.25","168.5","4.1"
"5x5","start","5","160","depth","149.35","152.3","1.7"
"5x5","start","6","0","depth","130.0","155.3","0.7"
"5x5","start","6","80","depth","175","147.2","1.1"
"5x5","start","6","160","depth","123.38","144.1","0.2"
"5x5","start","7","0","depth","150.7","178.7","0.8"
"5x5","start","7","80","depth","218.75","171.3","1.2"
"5x5","start","7","160","depth","159.74","161.9","4.0"
"5x5","start","8","0","depth","136.9","158.5","1.0"
"5x5","start","8","80","depth","179.69","151.6","2.1"
"5x5","start","8","160","depth","136.36","143.7","6.4"
"5x5","start","9","0","depth","160.4","181.7","1.4"
"5x5","start","9","80","depth","235.94","174.3","5.1"
"5x5","start","9","160","depth","146.75","161.3","3.5"
"5x5","start","10","0","depth","","161.6","2.2"
"5x5","start","10","80","depth","185.94","153.0","2.8"
"5x5","start","10","160","depth","","144.2","7.6"
"5x5","start","1","0","overlap_depth","29.03","56.4","3.1"
"5x5","start","1","80","overlap_depth","40.62","54.3","7.1"
"5x5","start","1","160","overlap_depth","-16.88","18.2","6.5"
"5x5","start","2","0","overlap_depth","73.27","99.8","5"
"5x5","start","2","80","overlap_depth","106.25","90.2","5.5"
"5x5","start","2","160","overlap_depth","31.17","84.2","10.2"
"5x5","start","3","0","overlap_depth","42.86","83.2","3.7"
"5x5","start","3","80","overlap_depth","106.25","81","8.4"
"5x5","start","3","160","overlap_depth","36.36","75.3","3"
"5x5","start","4","0","overlap_depth","85.71","114.3","2.1"
"5x5","start","4","80","overlap_depth","134.38","106.8","9.1"
"5x5","start","4","160","overlap_depth","67.53","91.1","5.6"
"5x5","start","5","0","overlap_depth","53.92","93.7","2.4"
"5x5","start","5","80","overlap_depth","132.81","88.9","3.5"
"5x5","start","5","160","overlap_depth","50.65","80.2","5.9"
"5x5","start","6","0","overlap_depth","94.01","119.9","2.3"
"5x5","start","6","80","overlap_depth","154.69","106.1","5.7"
"5x5","start","6","160","overlap_depth","79.22","102","2.1"
"5x5","start","7","0","overlap_depth","64.98","97","4.1"
"5x5","start","7","80","overlap_depth","132.81","95.5","2.7"
"5x5","start","7","160","overlap_depth","72.73","80.8","4.6"
"5x5","start","8","0","overlap_depth","111.98","126.6","1"
"5x5","start","8","80","overlap_depth","156.25","118.2","2.5"
"5x5","start","8","160","overlap_depth","101.3","104.5","7"
"5x5","start","9","0","overlap_depth","","97.6","7.3"
"5x5","start","9","80","overlap_depth","148.44","96.2","4.2"
"5x5","start","9","160","overlap_depth","","86.7","5.7"
"5x5","start","10","0","overlap_depth","","127.4","6.4"
"5x5","start","10","80","overlap_depth","175","116","0.7"
"5x5","start","10","160","overlap_depth","","114.5","2"
"5x5","start","1","0","width","71.72","88.1455","1.8"
"5x5","start","1","80","width","68.75","88.566","4.4"
"5x5","start","1","160","width","70.86530185","79.576","1.9"
"5x5","start","2","0","width","63.45","81.142","3.4"
"5x5","start","2","80","width","92.19","79.5905","1.2"
"5x5","start","2","160","width","65.61061417","82.679","5.7"
"5x5","start","3","0","width","102.07","135.372","2.1"
"5x5","start","3","80","width","146.88","144.449","4.1"
"5x5","start","3","160","width","148.3326472","151.0175","6.3"
"5x5","start","4","0","width","75.86","87.087","2.7"
"5x5","start","4","80","width","93.75","84.564","2.0"
"5x5","start","4","160","width","88.75145028","99.122","3.1"
"5x5","start","5","0","width","124.14","145.551","4.0"
"5x5","start","5","80","width","162.5","151.844","7.0"
"5x5","start","5","160","width","166.415285","174.783","4.3"
"5x5","start","6","0","width","89.66","91.1905","2.2"
"5x5","start","6","80","width","139.06","84.071","2.7"
"5x5","start","6","160","width","68.09199446","96.773","2.1"
"5x5","start","7","0","width","122.76","153.555","2.1"
"5x5","start","7","80","width","231.25","159.065","10.2"
"5x5","start","7","160","width","207.8127924","175.885","8.0"
"5x5","start","8","0","width","80.00","97.266","0.6"
"5x5","start","8","80","width","134.38","89.755","2.4"
"5x5","start","8","160","width","73.21194655","97.217628","5.8"
"5x5","start","9","0","width","140.69","161.1965","3.8"
"5x5","start","9","80","width","282.81","168.548","7.8"
"5x5","start","9","160","width","236.5058573","181.2645","3.1"
"5x5","start","10","0","width","","98.687","4.8"
"5x5","start","10","80","width","106.25","90.7555","2.6"
"5x5","start","10","160","width","","102.283","2.8"
"5x5","middle","1","0","bead_height","-5.22","5.5","3.6"
"5x5","middle","1","80","bead_height","29.19","39.8","8.7"
"5x5","middle","1","160","bead_height","89.85507246","66.8","10.7"
"5x5","middle","2","0","bead_height","0","3.8","1.7"
"5x5","middle","2","80","bead_height","27.61","21.4","3.8"
"5x5","middle","2","160","bead_height","81.15942029","53.6","14.0"
"5x5","middle","3","0","bead_height","1.3","0.8","1.3"
"5x5","middle","3","80","bead_height","28.86","12.5","3.6"
